LANG,RECORD #,245abnp,260a,264a,260b,264b,260c,264c,008 Country,SUBJECT,AUTHOR,ADDITIONAL AUTHOR,LIBRARY HAS
eng,b10270188,Asterix and Caesar's gift /,Montreal :,,"Dargaud Canada,",,1978,,quc,"Franco-Belgian comic books, strips, etc. Translations into English.","Goscinny, 1926-1977. http://id.loc.gov/authorities/names/n50034712","Uderzo. http://id.loc.gov/authorities/names/n50046800;""Bell, Anthea. http://id.loc.gov/authorities/names/n80004275"";""Hockridge, Derek. http://id.loc.gov/authorities/names/no96031513""",
spa,b10277031,Caceria humana /,Morelos :,,"Publicaciones Herrerias,",,1976,,mx,"Horror comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh88001837","Santibánez, Raúl.","Ferrer S., Eduardo.",
spa,b10280364,Gargola maldita /,Morelos :,,"Publicaciones Herrerias,",,1976,,mx,"Horror comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh88001837",Satanaus.,"Aviña F., J.",
fre,b10311282,"Albéric Bourgeois, caricaturiste /",Montréal-Nord :,,"VLB,",,"[1978], ©1978.",,quc,"Bourgeois, Albéric, 1876-1962. http://id.loc.gov/authorities/names/n79014538;""Cartoonists Canada Biography. http://id.loc.gov/authorities/subjects/sh85020532"";""Canadian comic books, strips, etc.""","Bourgeois, Albéric, 1876-1962. http://id.loc.gov/authorities/names/n79014538","Robidoux, Léon A. http://id.loc.gov/authorities/names/n92009612",
spa,b10323090,Maldición generosa /,Morelos :,,"Novedades,",,1979,,mx,"Horror comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh88001837","Santibánez, Raúl.","Mora A., Jorge A. http://id.loc.gov/authorities/names/n88047347",
spa,b10323120,El huerto de la muerte /,Morelos :,,"Novedades,",,1978,,mx,"Horror comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh88001837","Gong, William. http://id.loc.gov/authorities/names/n89602950","Mora A., Jorge A. http://id.loc.gov/authorities/names/n88047347",
spa,b10323156,Aviso de muerte /,Morelos :,,"Novedades,",,1978,,mx,"Horror comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh88001837","Santibánez, Raúl.","Avila, Roberto. http://id.loc.gov/authorities/names/n85331991",
spa,b1032317x,Entrada al mas alla /,Morelos :,,"Novedades,",,1978,,mx,"Horror comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh88001837","Ricardi, Tony.","Rangel, Juan.",
spa,b10323211,La cabeza del mono /,Morelos :,,"Novedades,",,1978,,mx,"Horror comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh88001837","Zambrano, J. León.","Gong, William. http://id.loc.gov/authorities/names/n89602950",
spa,b10323235,La llama reveladora /,Morelos :,,"Novedades,",,1978,,mx,"Horror comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh88001837","Ferrer, Vicente. http://id.loc.gov/authorities/names/nb2006015410","Rangel, Juan.",
