id,weight,state
"San Francisco, CA",838,CA
"Berkeley, CA",515,CA
"Artesia, CA",1,CA
"San Diego, CA",1400,CA
"Timonium, MD",9,MD
"Milwaukie, OR",1252,OR
"Runnemede, NJ",53,NJ
"New York, NY",7186,NY
"Seattle, WA",959,WA
"Anaheim, CA",45,CA
"Burbank, CA",65,CA
"Rantoul, IL",37,IL
"La Jolla, CA",178,CA
"Urbana, IL",33,IL
"Plymouth, MI",76,MI
"Congers, NY",10,NY
"Fullerton, CA",91,CA
"Mt Laurel, NJ",8,NJ
"Derby, CT",4,CT
"Vancouver, BC",76,BC
"Kansas City, MO",461,MO
"Wichita, KS",3,KS
"Oskaloosa, IA",2,IA
"Chicago, IL",320,IL
"Irvine, CA",27,CA
"Kent, OH",2,OH
"Mexico City, DF",108,DF
"Ontario, CA",39,CA
"Chino, CA",106,CA
"Montrose, CA",1,CA
"Los Angeles, CA",660,CA
"Cucamonga, CA",1,CA
"Martinez, CA",2,CA
"Saginaw, MI",1,MI
"CA, CA",27,CA
"Oakland, CA",49,CA
"Atlanta, GA",46,GA
"Providence, RI",9,RI
"Hancock, MA",6,MA
"Newbury Park, CA",122,CA
"Westlake Village, CA",86,CA
"Forestville, CA",122,CA
"Palo Alto, CA",9,CA
"Manitou Springs, CO",6,CO
"Westport, CT",26,CT
"Abington, PA",2,PA
"Cleveland, OH",25,OH
"Milwaukee, WI",25,WI
"Northampton, MA",146,MA
"Princeton, WI",100,WI
"Boston, MA",97,MA
"Montreal, QC",319,QC
"Kansas City, KS",26,KS
"Toronto, ON",165,ON
"Iola, WI",7,WI
"Gloucester, MA",1,MA
"Richmond Hill, ON",13,ON
"Skokie, IL",4,IL
"West Hempstead, NY",10,NY
"Calabasas, CA",16,CA
"Marietta, GA",160,GA
"Indianapolis, IN",10,IN
"San Jose, CA",143,CA
"Portland, OR",306,OR
"St Clair Shores, MI",4,MI
"Detroit, MI",77,MI
"Rockville Centre, NY",40,NY
"Lakeport, CA",1,CA
"Battle Creek, MI",6,MI
"Saint Joseph, MI",1,MI
"East Los Angeles, CA",1,CA
"Hawthorne, CA",13,CA
"Scottsdale, AZ",37,AZ
"Birmingham, AL",4,AL
"Woodside, NY",3,NY
"Wheeling, WV",37,WV
"Haydenville, MA",15,MA
"Glencoe, AL",2,AL
"West Haven, CT",64,CT
"Santa Cruz, CA",5,CA
"Brooklyn, NY",109,NY
"Florence, KY",11,KY
"Neshannock, PA",31,PA
"Minneapolis, MN",104,MN
"Auburn, CA",41,CA
"Racine, WI",288,WI
"Albany, NY",23,NY
"Toms River, NJ",12,NJ
"Dripping Springs, TX",3,TX
"Houston, TX",89,TX
"Santa Barbara, CA",12,CA
"Orange, CA",105,CA
"Hamtramck, MI",28,MI
"Farmington, MI",2,MI
"Kalamazoo, MI",15,MI
"MI, MI",37,MI
"Buffalo, NY",24,NY
"Las Vegas, NV",33,NV
"West Carrollton, OH",2,OH
"Akron, OH",33,OH
"Wilton, CT",2,CT
"Greenwich, CT",174,CT
"Bedford, NY",3,NY
"Port Chester, NY",1,NY
"Hauppauge, NY",8,NY
"Ann Arbor, MI",51,MI
"Gainesville, FL",46,FL
"Philadelphia, PA",87,PA
"Cambridge, MA",36,MA
"Bellingham, WA",16,WA
"North Hollywood, CA",5,CA
"Somerset, NJ",4,NJ
"MA, MA",8,MA
"Long Beach, CA",85,CA
"Van Nuys, CA",5,CA
"Thousand Oaks, CA",12,CA
"Santa Rosa, CA",5,CA
"Arlington, VA",11,VA
"Anderson, IN",2,IN
"Glenside, PA",2,PA
"Ankeny, IA",2,IA
"League City, TX",2,TX
"West Milford, NJ",4,NJ
"Austin, TX",49,TX
"Washington, DC",38,DC
"Doylestown, PA",1,PA
"Dolyestown, PA",1,PA
"Quincy, MA",1,MA
"State College, PA",2,PA
"Jefferson City, MO",1,MO
"Rockville, MD",3,MD
"Livonia, MI",47,MI
"Lincoln, NE",6,NE
"Mason, MI",1,MI
"Woodbury, NY",2,NY
"Bridgeport, CT",10,CT
"Orlando, FL",6,FL
"Timberlake, OH",2,OH
"Mount Horeb, WI",9,WI
"Tamarac, FL",4,FL
"Park Forest, IL",23,IL
"Hollywood, CA",65,CA
"Baltimore, MD",41,MD
"Raleigh, NC",65,NC
"Yellow Springs, OH",1,OH
"St Cloud, MN",1,MN
"Troy, MI",1,MI
"Easthampton, MA",11,MA
"Lexington, KY",6,KY
"Norfolk, VA",18,VA
"Milford, CT",2,CT
"Centerville, OH",6,OH
"Newport Coast, CA",3,CA
"Wilmette, IL",4,IL
"Some Town, MI",2,MI
"East Lansing, MI",188,MI
"Glenn Dale, MD",4,MD
"Stafford, VA",1,VA
"Lanham, MD",14,MD
"Falls Church, VA",3,VA
"Agoura, CA",18,CA
"New Castle, PA",7,PA
"Lincolnwood, IL",8,IL
"New Rochelle, NY",2,NY
"Holbrook, MA",1,MA
"Onamia, MN",1,MN
"Stamford, CT",6,CT
"Franklin Square, NY",5,NY
"Glen Ridge, NJ",1,NJ
"Wayne, NJ",1,NJ
"Miamisburg, OH",5,OH
"Mineola, NY",11,NY
"Kitchener, ON",21,ON
"Evanston, IL",9,IL
"La Mesa, CA",10,CA
"St-Laurent. Montreal, QC",2,QC
"Deerfield, IL",3,IL
"Garden City, NY",23,NY
"Columbus, OH",85,OH
"University Park, PA",6,PA
"Dallas, GA",11,GA
"Fredericksburg, VA",26,VA
"San Antonio, TX",106,TX
"Oldsmar, FL",14,FL
"Menomonee Falls, WI",16,WI
"Neshannock, MS",1,MS
"Lancaster, PA",7,PA
"Lachine, QC",2,QC
"Reading, MA",3,MA
"Colorado Springs, CO",7,CO
"Garden Grove, CA",1,CA
"San Juan Capistrano, CA",2,CA
"Oceanside, CA",1,CA
"Avon, MA",2,MA
"Lansing, MI",23,MI
"Phoenix, AZ",6,AZ
"Jefferson, NC",39,NC
"Haida Gwaii, BC",1,BC
"Lilburn, GA",1,GA
"Edina, MN",6,MN
"Milford, OH",4,OH
"Cincinnati, OH",37,OH
"Richmond, VA",33,VA
"Staten Island, NY",5,NY
"St. Catharines, ON",2,ON
"West Townshend, VT",15,VT
"Townshend, VT",1,VT
"Marina Del Rey, CA",2,CA
"Thomasville, NC",5,NC
"High Point, NC",1,NC
"Norcross, GA",6,GA
"San Rafael, CA",7,CA
"Jackson, MS",80,MS
"Hayward, CA",1,CA
"Guerneville, CA",20,CA
"Kingston, NY",1,NY
"San Bernardino, CA",5,CA
"Canoga Park, CA",5,CA
"Culver City, CA",9,CA
"Chesapeake, VA",11,VA
"Old Tappan, NJ",37,NJ
"Westwood, NJ",8,NJ
"Uhrichsville, OH",13,OH
"Miami, FL",13,FL
"Madison, WI",12,WI
"Swarthmore, PA",1,PA
"Stevens Point, WI",2,WI
"Eagan, MN",1,MN
"New Haven, CT",9,CT
"Scarborough, ON",2,ON
"Ada, MI",1,MI
"North Babylon, NY",1,NY
"Virginia Beach, VA",2,VA
"Stanhope, NJ",19,NJ
"Unadilla, NY",4,NY
"Silver Spring, MD",3,MD
"West Plains, MO",2,MO
"Acworth, GA",8,GA
"Lebanon, VA",1,VA
"Calumet City, IL",25,IL
"Dayton, OH",4,OH
"Tenayuca, DF",1,DF
"Mamaroneck, NY",23,NY
"NY, NY",3,NY
"Levittown, PA",2,PA
"Langhorne, PA",6,PA
"Denver, CO",22,CO
"Lakewood, CO",8,CO
"Lawrenceville, NJ",2,NJ
"Dover, NJ",31,NJ
"Lake Geneva, WI",12,WI
"Niles, IL",7,IL
"Southern CA, CA",1,CA
"Mountain Home, TN",2,TN
"Wilmington, DE",3,DE
"Oreland, PA",2,PA
"El Cajon, CA",85,CA
"Harrisburg, PA",7,PA
"Winston-Salem, NC",3,NC
"Allston, MA",1,MA
"Fort Lee, NJ",16,NJ
"Burlington, VT",1,VT
"Winter Park, FL",1,FL
"Scarsdale, NY",2,NY
"Mission, KS",5,KS
"Tucson, AZ",12,AZ
"Irving, TX",22,TX
"Olympia, WA",7,WA
"Pullman, WA",11,WA
"Butler, PA",2,PA
"Tuscon, AZ",1,AZ
"McCleary, WA",1,WA
"Warren, MI",1,MI
"Gainesville, TX",1,TX
"Grand Rapids, MI",43,MI
"Novato, CA",1,CA
"Willow Springs, MO",2,MO
"Birch Tree, MO",1,MO
"Fullerton, NE",4,NE
"Kearney, NE",2,NE
"Plattsburgh, NY",1,NY
"Santa Clara, CA",1,CA
"Emeryville, CA",3,CA
"Pittsburgh, PA",27,PA
"Santa Ynez, CA",6,CA
"Fairway, KS",1,KS
"Norristown, PA",19,PA
"Picton, ON",2,ON
"Sanborn, NY",1,NY
"Saddle Brook, NJ",2,NJ
"Monterey Park, CA",1,CA
"Westland, MI",18,MI
"Fairfax, VA",4,VA
"Berlin, NJ",4,NJ
"New Orleans, LA",8,LA
"Tampa, FL",2,FL
"Jackson Heights, NY",12,NY
"Greencastle, PA",6,PA
"Carson, CA",18,CA
"Gardena, CA",52,CA
"Nashville, TN",8,TN
"Des Moines, IA",10,IA
"Valley Forge, PA",1,PA
"Carmel, NY",1,NY
"North Little Rock, AR",2,AR
"Hoboken, NJ",8,NJ
"Somerville, MA",20,MA
"Lynden, ON",1,ON
"El Sobrante, CA",3,CA
"Leonia, NJ",2,NJ
"Warwick, RI",1,RI
"Fremont, CA",53,CA
"Ithaca, NY",10,NY
"St Paul, MN",3,MN
"Fort Worth, TX",9,TX
", 1",12, 1
"Port Washington, WA",2,WA
"Liverpool, WV",1,WV
"Reedy, WV",1,WV
"Peoria, AZ",2,AZ
"Drexel Hill, PA",1,PA
"Dallas, TX",40,TX
"Westmont, IL",1,IL
"Worthington, OH",4,OH
"Calgary, AB",7,AB
"Newark, OH",1,OH
"Sillery, QC",4,QC
"St-Augustin, QC",1,QC
"Starkville, MS",2,MS
"Glen Cove, NY",1,NY
"North Mankato, MN",9,MN
"Cross River, NY",3,NY
"Brookfield, CT",4,CT
"Wheaton, IL",10,IL
"Mérida, YU",2,YU
"Waco, TX",7,TX
"Louisville, KY",8,KY
"Great Neck, NY",2,NY
"North Adams, MA",1,MA
"Sylmar, CA",2,CA
"Allen Park, MI",3,MI
"Pacific Palisades, CA",1,CA
"Rocklin, CA",1,CA
"Bowling Green, OH",16,OH
"OH, OH",14,OH
"Southeastern, PA",1,PA
